Setting Arguments.. :  Namespace(batch_size=64, cuda=True, dataset='voc', debug=False, eval_epoch=10, gamma=0.1, lr=0.001, momentum=0.9, multi_scale=False, no_warm_up=False, num_workers=16, resume=None, save_folder='weights/', start_epoch=0, tfboard=False, version='yolo', weight_decay=0.0005, wp_epoch=1)
----------------------------------------------------------
use cuda
Training model on: VOC0712
The dataset size: 16551
----------------------------------------------------------
Let us train yolo on the voc dataset ......
[Epoch 1/150][Iter 0/258][lr 0.000000][Loss: obj 61.79 || cls 5.79 || bbox 151.56 || total 219.14 || size 416 || time: 10.65]
[Epoch 1/150][Iter 10/258][lr 0.000000][Loss: obj 61.89 || cls 5.58 || bbox 150.09 || total 217.56 || size 416 || time: 3.98]
[Epoch 1/150][Iter 20/258][lr 0.000000][Loss: obj 61.55 || cls 5.47 || bbox 139.30 || total 206.32 || size 416 || time: 3.84]
[Epoch 1/150][Iter 30/258][lr 0.000000][Loss: obj 60.88 || cls 6.38 || bbox 165.87 || total 233.13 || size 416 || time: 3.87]
[Epoch 1/150][Iter 40/258][lr 0.000001][Loss: obj 56.84 || cls 6.06 || bbox 135.90 || total 198.80 || size 416 || time: 3.79]
[Epoch 1/150][Iter 50/258][lr 0.000001][Loss: obj 46.28 || cls 6.35 || bbox 114.15 || total 166.79 || size 416 || time: 3.73]
[Epoch 1/150][Iter 60/258][lr 0.000003][Loss: obj 29.63 || cls 6.37 || bbox 93.55 || total 129.55 || size 416 || time: 3.74]
[Epoch 1/150][Iter 70/258][lr 0.000005][Loss: obj 15.09 || cls 5.95 || bbox 41.38 || total 62.42 || size 416 || time: 3.75]
[Epoch 1/150][Iter 80/258][lr 0.000009][Loss: obj 10.54 || cls 6.20 || bbox 30.03 || total 46.77 || size 416 || time: 3.74]
[Epoch 1/150][Iter 90/258][lr 0.000015][Loss: obj 10.06 || cls 6.42 || bbox 19.21 || total 35.69 || size 416 || time: 3.80]
[Epoch 1/150][Iter 100/258][lr 0.000023][Loss: obj 8.68 || cls 5.58 || bbox 12.00 || total 26.26 || size 416 || time: 3.75]
[Epoch 1/150][Iter 110/258][lr 0.000033][Loss: obj 8.50 || cls 5.33 || bbox 10.05 || total 23.89 || size 416 || time: 3.72]
[Epoch 1/150][Iter 120/258][lr 0.000047][Loss: obj 8.94 || cls 5.71 || bbox 10.62 || total 25.28 || size 416 || time: 3.73]
[Epoch 1/150][Iter 130/258][lr 0.000064][Loss: obj 7.83 || cls 4.92 || bbox 8.62 || total 21.36 || size 416 || time: 3.76]
[Epoch 1/150][Iter 140/258][lr 0.000087][Loss: obj 7.84 || cls 4.67 || bbox 9.27 || total 21.77 || size 416 || time: 3.74]
[Epoch 1/150][Iter 150/258][lr 0.000114][Loss: obj 7.90 || cls 4.64 || bbox 9.62 || total 22.16 || size 416 || time: 3.78]
[Epoch 1/150][Iter 160/258][lr 0.000148][Loss: obj 6.66 || cls 3.66 || bbox 6.37 || total 16.69 || size 416 || time: 3.76]
[Epoch 1/150][Iter 170/258][lr 0.000189][Loss: obj 8.43 || cls 5.33 || bbox 12.29 || total 26.05 || size 416 || time: 3.77]
[Epoch 1/150][Iter 180/258][lr 0.000237][Loss: obj 6.71 || cls 3.55 || bbox 7.08 || total 17.34 || size 416 || time: 3.77]
[Epoch 1/150][Iter 190/258][lr 0.000294][Loss: obj 7.30 || cls 3.64 || bbox 9.21 || total 20.16 || size 416 || time: 3.76]
[Epoch 1/150][Iter 200/258][lr 0.000361][Loss: obj 7.83 || cls 4.31 || bbox 9.80 || total 21.94 || size 416 || time: 3.76]
[Epoch 1/150][Iter 210/258][lr 0.000439][Loss: obj 7.20 || cls 3.31 || bbox 11.39 || total 21.90 || size 416 || time: 3.75]
[Epoch 1/150][Iter 220/258][lr 0.000529][Loss: obj 6.84 || cls 3.36 || bbox 8.84 || total 19.05 || size 416 || time: 3.75]
[Epoch 1/150][Iter 230/258][lr 0.000632][Loss: obj 6.80 || cls 3.13 || bbox 7.76 || total 17.69 || size 416 || time: 3.73]
[Epoch 1/150][Iter 240/258][lr 0.000749][Loss: obj 7.60 || cls 3.72 || bbox 12.21 || total 23.54 || size 416 || time: 3.71]
[Epoch 1/150][Iter 250/258][lr 0.000882][Loss: obj 6.50 || cls 3.20 || bbox 7.37 || total 17.06 || size 416 || time: 3.71]
[Epoch 2/150][Iter 0/258][lr 0.001000][Loss: obj 6.21 || cls 2.72 || bbox 5.56 || total 14.49 || size 416 || time: 12.29]
[Epoch 2/150][Iter 10/258][lr 0.001000][Loss: obj 6.25 || cls 3.14 || bbox 7.15 || total 16.54 || size 416 || time: 3.84]
[Epoch 2/150][Iter 20/258][lr 0.001000][Loss: obj 6.99 || cls 3.24 || bbox 7.92 || total 18.16 || size 416 || time: 3.80]
[Epoch 2/150][Iter 30/258][lr 0.001000][Loss: obj 6.44 || cls 3.06 || bbox 7.36 || total 16.87 || size 416 || time: 3.79]
[Epoch 2/150][Iter 40/258][lr 0.001000][Loss: obj 7.24 || cls 3.66 || bbox 8.19 || total 19.08 || size 416 || time: 3.78]
[Epoch 2/150][Iter 50/258][lr 0.001000][Loss: obj 6.37 || cls 2.79 || bbox 6.21 || total 15.36 || size 416 || time: 3.88]
[Epoch 2/150][Iter 60/258][lr 0.001000][Loss: obj 6.06 || cls 2.45 || bbox 7.62 || total 16.13 || size 416 || time: 3.74]
[Epoch 2/150][Iter 70/258][lr 0.001000][Loss: obj 6.14 || cls 3.16 || bbox 7.38 || total 16.68 || size 416 || time: 3.79]
[Epoch 2/150][Iter 80/258][lr 0.001000][Loss: obj 5.44 || cls 2.62 || bbox 5.76 || total 13.81 || size 416 || time: 3.75]
[Epoch 2/150][Iter 90/258][lr 0.001000][Loss: obj 6.54 || cls 2.58 || bbox 6.48 || total 15.59 || size 416 || time: 3.78]
[Epoch 2/150][Iter 100/258][lr 0.001000][Loss: obj 6.81 || cls 2.70 || bbox 8.13 || total 17.64 || size 416 || time: 3.73]
[Epoch 2/150][Iter 110/258][lr 0.001000][Loss: obj 6.11 || cls 2.82 || bbox 7.18 || total 16.11 || size 416 || time: 3.78]
[Epoch 2/150][Iter 120/258][lr 0.001000][Loss: obj 7.76 || cls 3.04 || bbox 9.82 || total 20.61 || size 416 || time: 3.72]
[Epoch 2/150][Iter 130/258][lr 0.001000][Loss: obj 6.52 || cls 2.02 || bbox 6.34 || total 14.88 || size 416 || time: 3.74]
[Epoch 2/150][Iter 140/258][lr 0.001000][Loss: obj 5.49 || cls 2.06 || bbox 7.56 || total 15.11 || size 416 || time: 3.72]
[Epoch 2/150][Iter 150/258][lr 0.001000][Loss: obj 6.52 || cls 2.35 || bbox 8.02 || total 16.89 || size 416 || time: 3.75]
[Epoch 2/150][Iter 160/258][lr 0.001000][Loss: obj 6.70 || cls 2.37 || bbox 7.12 || total 16.18 || size 416 || time: 3.78]
[Epoch 2/150][Iter 170/258][lr 0.001000][Loss: obj 6.02 || cls 2.39 || bbox 7.83 || total 16.25 || size 416 || time: 3.82]
[Epoch 2/150][Iter 180/258][lr 0.001000][Loss: obj 5.95 || cls 2.38 || bbox 6.31 || total 14.63 || size 416 || time: 3.78]
[Epoch 2/150][Iter 190/258][lr 0.001000][Loss: obj 6.25 || cls 2.38 || bbox 7.26 || total 15.88 || size 416 || time: 3.74]
[Epoch 2/150][Iter 200/258][lr 0.001000][Loss: obj 5.23 || cls 2.05 || bbox 5.50 || total 12.77 || size 416 || time: 3.72]
[Epoch 2/150][Iter 210/258][lr 0.001000][Loss: obj 6.39 || cls 2.61 || bbox 7.80 || total 16.79 || size 416 || time: 3.78]
[Epoch 2/150][Iter 220/258][lr 0.001000][Loss: obj 6.06 || cls 1.92 || bbox 7.60 || total 15.58 || size 416 || time: 3.76]
[Epoch 2/150][Iter 230/258][lr 0.001000][Loss: obj 6.55 || cls 2.07 || bbox 7.05 || total 15.67 || size 416 || time: 3.71]
[Epoch 2/150][Iter 240/258][lr 0.001000][Loss: obj 5.83 || cls 2.11 || bbox 6.17 || total 14.10 || size 416 || time: 3.70]
[Epoch 2/150][Iter 250/258][lr 0.001000][Loss: obj 5.24 || cls 1.61 || bbox 5.14 || total 11.99 || size 416 || time: 3.70]
[Epoch 3/150][Iter 0/258][lr 0.001000][Loss: obj 5.35 || cls 1.73 || bbox 6.00 || total 13.07 || size 416 || time: 9.82]
[Epoch 3/150][Iter 10/258][lr 0.001000][Loss: obj 5.46 || cls 2.00 || bbox 5.70 || total 13.15 || size 416 || time: 4.64]
[Epoch 3/150][Iter 20/258][lr 0.001000][Loss: obj 6.88 || cls 2.31 || bbox 7.03 || total 16.22 || size 416 || time: 3.82]
[Epoch 3/150][Iter 30/258][lr 0.001000][Loss: obj 6.99 || cls 2.22 || bbox 8.23 || total 17.44 || size 416 || time: 3.75]
[Epoch 3/150][Iter 40/258][lr 0.001000][Loss: obj 5.56 || cls 2.58 || bbox 6.32 || total 14.45 || size 416 || time: 3.78]
[Epoch 3/150][Iter 50/258][lr 0.001000][Loss: obj 5.72 || cls 1.64 || bbox 5.38 || total 12.73 || size 416 || time: 3.74]
[Epoch 3/150][Iter 60/258][lr 0.001000][Loss: obj 6.28 || cls 2.40 || bbox 7.34 || total 16.03 || size 416 || time: 3.80]
[Epoch 3/150][Iter 70/258][lr 0.001000][Loss: obj 4.92 || cls 1.63 || bbox 6.58 || total 13.13 || size 416 || time: 3.78]
[Epoch 3/150][Iter 80/258][lr 0.001000][Loss: obj 4.66 || cls 1.48 || bbox 5.10 || total 11.24 || size 416 || time: 3.77]
[Epoch 3/150][Iter 90/258][lr 0.001000][Loss: obj 4.38 || cls 1.28 || bbox 5.28 || total 10.93 || size 416 || time: 3.79]
[Epoch 3/150][Iter 100/258][lr 0.001000][Loss: obj 4.76 || cls 1.63 || bbox 5.36 || total 11.76 || size 416 || time: 3.76]
[Epoch 3/150][Iter 110/258][lr 0.001000][Loss: obj 5.31 || cls 2.24 || bbox 6.76 || total 14.31 || size 416 || time: 3.75]
[Epoch 3/150][Iter 120/258][lr 0.001000][Loss: obj 3.78 || cls 1.68 || bbox 4.78 || total 10.24 || size 416 || time: 3.75]
[Epoch 3/150][Iter 130/258][lr 0.001000][Loss: obj 4.70 || cls 1.78 || bbox 6.14 || total 12.62 || size 416 || time: 3.78]
[Epoch 3/150][Iter 140/258][lr 0.001000][Loss: obj 5.13 || cls 1.48 || bbox 6.74 || total 13.35 || size 416 || time: 3.74]
[Epoch 3/150][Iter 150/258][lr 0.001000][Loss: obj 4.96 || cls 1.43 || bbox 5.52 || total 11.91 || size 416 || time: 3.72]
[Epoch 3/150][Iter 160/258][lr 0.001000][Loss: obj 5.73 || cls 1.65 || bbox 7.30 || total 14.68 || size 416 || time: 3.74]
[Epoch 3/150][Iter 170/258][lr 0.001000][Loss: obj 5.30 || cls 1.23 || bbox 5.61 || total 12.13 || size 416 || time: 3.81]
[Epoch 3/150][Iter 180/258][lr 0.001000][Loss: obj 5.15 || cls 2.00 || bbox 7.23 || total 14.38 || size 416 || time: 3.76]
[Epoch 3/150][Iter 190/258][lr 0.001000][Loss: obj 4.67 || cls 1.41 || bbox 5.76 || total 11.84 || size 416 || time: 3.77]
[Epoch 3/150][Iter 200/258][lr 0.001000][Loss: obj 4.20 || cls 1.17 || bbox 4.51 || total 9.87 || size 416 || time: 3.79]
[Epoch 3/150][Iter 210/258][lr 0.001000][Loss: obj 5.11 || cls 1.62 || bbox 6.09 || total 12.81 || size 416 || time: 3.76]
[Epoch 3/150][Iter 220/258][lr 0.001000][Loss: obj 4.58 || cls 1.21 || bbox 5.81 || total 11.61 || size 416 || time: 3.73]
[Epoch 3/150][Iter 230/258][lr 0.001000][Loss: obj 3.72 || cls 1.72 || bbox 5.11 || total 10.56 || size 416 || time: 3.71]
[Epoch 3/150][Iter 240/258][lr 0.001000][Loss: obj 6.12 || cls 1.83 || bbox 6.53 || total 14.49 || size 416 || time: 3.71]
[Epoch 3/150][Iter 250/258][lr 0.001000][Loss: obj 5.29 || cls 1.72 || bbox 5.57 || total 12.57 || size 416 || time: 3.71]
[Epoch 4/150][Iter 0/258][lr 0.001000][Loss: obj 5.17 || cls 1.60 || bbox 6.73 || total 13.51 || size 416 || time: 10.70]
[Epoch 4/150][Iter 10/258][lr 0.001000][Loss: obj 4.93 || cls 1.45 || bbox 5.52 || total 11.90 || size 416 || time: 3.78]
[Epoch 4/150][Iter 20/258][lr 0.001000][Loss: obj 4.76 || cls 1.32 || bbox 5.92 || total 12.01 || size 416 || time: 3.78]
[Epoch 4/150][Iter 30/258][lr 0.001000][Loss: obj 4.72 || cls 1.92 || bbox 6.45 || total 13.09 || size 416 || time: 3.75]
[Epoch 4/150][Iter 40/258][lr 0.001000][Loss: obj 4.67 || cls 1.45 || bbox 5.67 || total 11.79 || size 416 || time: 3.74]
[Epoch 4/150][Iter 50/258][lr 0.001000][Loss: obj 5.44 || cls 1.30 || bbox 5.72 || total 12.46 || size 416 || time: 3.75]
[Epoch 4/150][Iter 60/258][lr 0.001000][Loss: obj 4.81 || cls 1.54 || bbox 5.49 || total 11.85 || size 416 || time: 3.81]
[Epoch 4/150][Iter 70/258][lr 0.001000][Loss: obj 4.54 || cls 1.52 || bbox 5.53 || total 11.59 || size 416 || time: 3.77]
[Epoch 4/150][Iter 80/258][lr 0.001000][Loss: obj 4.89 || cls 1.99 || bbox 6.26 || total 13.15 || size 416 || time: 3.74]
